date,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
1/5/2015,Quarter1,sweing,Monday,5,0.6,21.98,666,6960,23,0,0,0,58,0.600028736
1/6/2015,Quarter1,finishing ,Tuesday,4,0.8,3.94,,4440,0,0,0,0,18,0.966781346
1/6/2015,Quarter1,finishing ,Tuesday,1,0.8,3.94,,1440,0,0,0,0,8,0.936496212
1/6/2015,Quarter1,finishing ,Tuesday,3,0.75,4.15,,1800,0,0,0,0,10,0.899166667
1/6/2015,Quarter1,finishing ,Tuesday,11,0.8,4.15,,2700,0,0,0,0,15,0.888686869
1/6/2015,Quarter1,finishing ,Tuesday,9,0.8,3.94,,1440,0,0,0,0,8,0.858143939
1/6/2015,Quarter1,sweing,Tuesday,1,0.8,26.16,1187,10620,75,0,0,0,59,0.850502311
1/6/2015,Quarter1,sweing,Tuesday,9,0.8,26.16,1305,10620,75,0,0,0,59,0.850502311
1/6/2015,Quarter1,finishing ,Tuesday,10,0.75,3.94,,1440,0,0,0,0,8,0.809640152
1/6/2015,Quarter1,finishing ,Tuesday,2,0.8,3.94,,1440,0,0,0,0,8,0.805909091
1/6/2015,Quarter1,sweing,Tuesday,2,0.8,28.08,716,10350,50,0,0,0,57.5,0.800594466
1/6/2015,Quarter1,sweing,Tuesday,4,0.8,28.08,925,10350,50,0,0,0,57.5,0.800594466
1/6/2015,Quarter1,sweing,Tuesday,3,0.8,19.87,963,9900,50,0,0,0,55,0.800273829
1/6/2015,Quarter1,sweing,Tuesday,12,0.8,11.61,1101,5310,50,0,0,0,31.5,0.800140969
1/6/2015,Quarter1,sweing,Tuesday,7,0.8,25.9,1035,10170,38,0,0,0,56.5,0.800128721
1/6/2015,Quarter1,sweing,Tuesday,8,0.8,25.9,1083,10170,38,0,0,0,56.5,0.800128721
1/6/2015,Quarter1,sweing,Tuesday,6,0.8,11.61,910,4470,38,0,0,0,31.5,0.80007657
1/6/2015,Quarter1,sweing,Tuesday,10,0.75,28.08,1209,10530,45,0,0,0,58.5,0.750545455
1/6/2015,Quarter1,sweing,Tuesday,11,0.75,19.31,590,9900,45,0,0,0,55,0.750057851
1/6/2015,Quarter1,finishing ,Tuesday,8,0.8,2.9,,1440,0,0,0,0,8,0.681060606
1/6/2015,Quarter1,sweing,Tuesday,5,0.65,21.98,808,10440,35,0,0,0,58,0.649983281
1/6/2015,Quarter1,finishing ,Tuesday,7,0.8,2.9,,1440,0,0,0,0,8,0.61625
1/7/2015,Quarter1,finishing ,Wednesday,1,0.8,3.94,,1440,0,0,0,0,8,0.951420455
1/7/2015,Quarter1,finishing ,Wednesday,9,0.8,3.94,,1440,0,0,0,0,8,0.880530303
1/7/2015,Quarter1,sweing,Wednesday,1,0.8,26.16,1179,10620,75,0,0,0,59,0.850502311
1/7/2015,Quarter1,sweing,Wednesday,9,0.8,26.16,1324,10620,75,0,0,0,59,0.850502311
1/7/2015,Quarter1,sweing,Wednesday,8,0.8,25.9,1135,10170,60,0,0,0,56.5,0.850136766
1/7/2015,Quarter1,finishing ,Wednesday,3,0.75,4.15,,2700,0,0,0,0,15,0.83
1/7/2015,Quarter1,finishing ,Wednesday,4,0.8,3.94,,4440,0,0,0,0,18,0.827186544
1/7/2015,Quarter1,finishing ,Wednesday,2,0.8,3.94,,1440,0,0,0,0,8,0.813371212
1/7/2015,Quarter1,finishing ,Wednesday,10,0.75,3.94,,1440,0,0,0,0,8,0.805909091
1/7/2015,Quarter1,finishing ,Wednesday,7,0.8,2.9,,1440,0,0,0,0,8,0.804640152
1/7/2015,Quarter1,sweing,Wednesday,2,0.8,28.08,776,10350,63,0,0,0,57.5,0.800594466
1/7/2015,Quarter1,sweing,Wednesday,4,0.8,28.08,990,10350,50,0,0,0,57.5,0.800594466
1/7/2015,Quarter1,sweing,Wednesday,6,0.8,11.41,986,5490,50,0,0,0,30.5,0.800343766
1/7/2015,Quarter1,sweing,Wednesday,3,0.8,19.87,924,9900,50,0,0,0,55,0.800273829
1/7/2015,Quarter1,sweing,Wednesday,12,0.8,11.61,1120,5670,50,0,0,0,31.5,0.800246753
1/7/2015,Quarter1,sweing,Wednesday,7,0.8,25.9,1066,10170,50,0,0,0,56.5,0.800128721
1/7/2015,Quarter1,sweing,Wednesday,10,0.75,28.08,1144,10530,69,0,0,0,58.5,0.8
1/7/2015,Quarter1,sweing,Wednesday,5,0.7,21.98,413,9720,40,0,0,0,58,0.700480831
1/7/2015,Quarter1,finishing ,Wednesday,8,0.8,2.9,,1440,0,0,0,0,8,0.681060606
1/7/2015,Quarter1,finishing ,Wednesday,6,0.8,2.9,,1800,0,0,0,0,10,0.666515152
1/7/2015,Quarter1,sweing,Wednesday,11,0.8,31.83,568,9900,40,0,0,0,55,0.412119835
1/7/2015,Quarter1,finishing ,Wednesday,5,0.7,4.15,,1440,0,0,0,0,8,0.330113636
1/8/2015,Quarter2,finishing ,Thursday,1,0.8,3.94,,1440,0,0,0,0,8,0.947689394
1/8/2015,Quarter2,finishing ,Thursday,4,0.8,3.94,,12600,0,0,0,0,20,0.919905405
1/8/2015,Quarter2,sweing,Thursday,9,0.8,26.16,1216,10620,88,0,0,0,59,0.900215716
1/8/2015,Quarter2,finishing ,Thursday,9,0.8,3.94,,1440,0,0,0,0,8,0.891723485
1/8/2015,Quarter2,sweing,Thursday,1,0.8,26.16,1189,10620,75,0,0,0,59,0.850502311
1/8/2015,Quarter2,sweing,Thursday,4,0.8,28.08,942,10530,75,0,0,0,58.5,0.850181818
1/8/2015,Quarter2,sweing,Thursday,7,0.8,25.9,1050,10170,60,0,0,0,56.5,0.850136766
1/8/2015,Quarter2,sweing,Thursday,8,0.8,25.9,1026,10170,60,0,0,0,56.5,0.850136766
1/8/2015,Quarter2,finishing ,Thursday,2,0.8,3.94,,1440,0,0,0,0,8,0.835757576
1/8/2015,Quarter2,finishing ,Thursday,5,0.7,4.15,,3840,0,0,0,0,8,0.821354167
1/8/2015,Quarter2,sweing,Thursday,2,0.8,28.08,783,10050,63,0,0,0,58.5,0.800497246
1/8/2015,Quarter2,sweing,Thursday,3,0.8,19.87,857,9900,50,0,0,0,55,0.800273829
1/8/2015,Quarter2,sweing,Thursday,12,0.8,11.61,548,15120,63,0,0,0,31.5,0.800107143
1/8/2015,Quarter2,sweing,Thursday,6,0.8,11.41,411,14640,50,0,0,0,30.5,0.800024932
1/8/2015,Quarter2,sweing,Thursday,10,0.75,28.08,1066,10530,69,0,0,0,58.5,0.8
1/8/2015,Quarter2,finishing ,Thursday,10,0.75,3.94,,1440,0,0,0,0,8,0.779791667
1/8/2015,Quarter2,finishing ,Thursday,8,0.8,2.9,,1440,0,0,0,0,8,0.735984848
1/8/2015,Quarter2,finishing ,Thursday,3,0.75,4.15,,2160,0,0,0,0,12,0.712626263
1/8/2015,Quarter2,finishing ,Thursday,7,0.8,2.9,,1440,0,0,0,0,8,0.681060606
1/8/2015,Quarter2,finishing ,Thursday,11,0.8,4.15,,900,0,0,0,0,5,0.515606061
1/8/2015,Quarter2,sweing,Thursday,11,0.35,12.52,287,25920,38,0,0,0,54,0.349951389
1/8/2015,Quarter2,sweing,Thursday,5,0.7,42.41,724,10260,0,0,0,0,57,0.233705476
1/10/2015,Quarter2,finishing ,Saturday,1,0.8,3.94,,2160,0,0,0,0,8,0.985
1/10/2015,Quarter2,finishing ,Saturday,3,0.75,4.15,,2760,0,0,0,0,12,0.930340376
1/10/2015,Quarter2,finishing ,Saturday,4,0.8,3.94,,6000,0,0,0,0,20,0.911589744
1/10/2015,Quarter2,finishing ,Saturday,9,0.8,3.94,,1440,0,0,0,0,8,0.858143939
1/10/2015,Quarter2,sweing,Saturday,9,0.8,26.16,1122,10620,75,0,0,0,59,0.851174114
1/10/2015,Quarter2,sweing,Saturday,7,0.8,25.9,970,10170,60,0,0,0,56.5,0.850136766
1/10/2015,Quarter2,sweing,Saturday,8,0.8,25.9,1158,10170,60,0,0,0,56.5,0.850136766
1/10/2015,Quarter2,finishing ,Saturday,10,0.8,3.94,,1440,0,0,0,0,8,0.846950758
1/10/2015,Quarter2,finishing ,Saturday,11,0.8,4.15,,1440,0,0,0,0,8,0.817424242
1/10/2015,Quarter2,finishing ,Saturday,2,0.8,3.94,,1440,0,0,0,0,8,0.817102273
1/10/2015,Quarter2,sweing,Saturday,4,0.8,28.08,660,10440,63,0,0,0,58,0.801028213
1/10/2015,Quarter2,sweing,Saturday,2,0.8,28.08,749,10350,63,0,0,0,57.5,0.800594466
1/10/2015,Quarter2,sweing,Saturday,12,0.8,11.61,893,4710,50,0,0,0,31.5,0.800346445
1/10/2015,Quarter2,sweing,Saturday,6,0.8,11.41,887,5490,50,0,0,0,30.5,0.800343766
1/10/2015,Quarter2,sweing,Saturday,1,0.8,26.16,1335,10620,63,0,0,0,59,0.800117103
1/10/2015,Quarter2,sweing,Saturday,10,0.8,28.08,1082,10530,63,0,0,0,58.5,0.8
1/10/2015,Quarter2,sweing,Saturday,3,0.75,19.87,1075,7080,45,0,0,0,56,0.750098351
1/10/2015,Quarter2,sweing,Saturday,11,0.5,12.52,749,9540,38,0,0,0,53,0.673245283
1/10/2015,Quarter2,finishing ,Saturday,7,0.8,2.9,,1440,0,0,0,0,8,0.670075758
1/10/2015,Quarter2,finishing ,Saturday,8,0.8,2.9,,1440,0,0,0,0,8,0.628882576
1/10/2015,Quarter2,sweing,Saturday,5,0.5,20.79,966,7680,0,0,0,0,56,0.388007813
1/10/2015,Quarter2,finishing ,Saturday,5,0.5,4.15,,1440,0,0,0,0,8,0.337973485
1/11/2015,Quarter2,finishing ,Sunday,3,0.75,4.15,,1440,0,0,0,0,8,0.93532197
1/11/2015,Quarter2,finishing ,Sunday,4,0.8,3.94,,3600,0,0,0,0,20,0.925643939
1/11/2015,Quarter2,sweing,Sunday,9,0.8,26.16,1095,10620,88,0,0,0,59,0.900215716
1/11/2015,Quarter2,finishing ,Sunday,1,0.8,3.94,,1440,0,0,0,0,8,0.873068182
1/11/2015,Quarter2,finishing ,Sunday,9,0.8,3.94,,1440,0,0,0,0,8,0.858143939
1/11/2015,Quarter2,sweing,Sunday,1,0.8,26.16,1383,10620,75,0,0,0,59,0.850502311
1/11/2015,Quarter2,sweing,Sunday,7,0.8,25.9,1012,10170,45,0,0,0,56.5,0.850136766
1/11/2015,Quarter2,sweing,Sunday,8,0.8,25.9,1209,10170,60,0,0,0,56.5,0.850136766
1/11/2015,Quarter2,finishing ,Sunday,10,0.8,3.94,,1440,0,0,0,0,8,0.828295455
1/11/2015,Quarter2,finishing ,Sunday,2,0.8,3.94,,1440,0,0,0,0,8,0.820833333
1/11/2015,Quarter2,sweing,Sunday,6,0.8,11.41,887,5490,50,0,0,0,30.5,0.800343766
1/11/2015,Quarter2,sweing,Sunday,12,0.8,11.61,896,5670,50,0,0,0,31.5,0.800246753
1/11/2015,Quarter2,sweing,Sunday,2,0.8,28.08,805,10530,63,0,0,0,58.5,0.8
1/11/2015,Quarter2,sweing,Sunday,10,0.8,28.08,762,10530,38,0,0,0,58.5,0.8
1/11/2015,Quarter2,sweing,Sunday,3,0.8,19.87,1043,6420,0,0,0,0,55,0.690182815
1/11/2015,Quarter2,finishing ,Sunday,11,0.8,4.15,,1440,0,0,0,0,8,0.668087121
1/11/2015,Quarter2,finishing ,Sunday,8,0.8,2.9,,1440,0,0,0,0,8,0.653598485
1/11/2015,Quarter2,finishing ,Sunday,5,0.5,4.15,,1440,0,0,0,0,8,0.609138258
1/11/2015,Quarter2,sweing,Sunday,11,0.6,12.52,831,9540,30,0,0,0,53,0.600229846
1/11/2015,Quarter2,finishing ,Sunday,6,0.8,2.9,,1440,0,0,0,0,8,0.597348485
1/11/2015,Quarter2,finishing ,Sunday,7,0.8,2.9,,1440,0,0,0,0,8,0.590435606
1/11/2015,Quarter2,sweing,Sunday,4,0.8,50.48,562,10440,0,0,0,0,58,0.473134796
1/11/2015,Quarter2,sweing,Sunday,5,0.6,20.79,1208,7980,0,0,0,0,57,0.452979626
1/12/2015,Quarter2,finishing ,Monday,1,0.8,3.94,,1440,0,0,0,0,8,0.955151515
1/12/2015,Quarter2,finishing ,Monday,4,0.35,4.3,,3240,0,0,0,0,18,0.942213805
1/12/2015,Quarter2,finishing ,Monday,3,0.8,4.15,,1800,0,0,0,0,10,0.905454545
1/12/2015,Quarter2,finishing ,Monday,2,0.8,3.94,,1440,0,0,0,0,8,0.880530303
1/12/2015,Quarter2,finishing ,Monday,9,0.8,3.94,,1440,0,0,0,0,8,0.858143939
1/12/2015,Quarter2,sweing,Monday,1,0.8,26.16,1099,8220,75,0,0,0,59,0.850522167
1/12/2015,Quarter2,sweing,Monday,9,0.8,26.16,1093,10620,75,0,0,0,59,0.850502311
1/12/2015,Quarter2,sweing,Monday,7,0.8,25.9,1031,10170,60,0,0,0,56.5,0.850136766
1/12/2015,Quarter2,sweing,Monday,8,0.8,25.9,1233,10170,60,0,0,0,56.5,0.850136766
1/12/2015,Quarter2,finishing ,Monday,6,0.8,2.9,,1440,0,0,0,0,8,0.817424242
1/12/2015,Quarter2,finishing ,Monday,5,0.65,4.15,,1440,0,0,0,0,8,0.809564394
1/12/2015,Quarter2,sweing,Monday,3,0.8,19.87,941,9900,0,0,0,0,55,0.800273829
1/12/2015,Quarter2,sweing,Monday,6,0.8,11.41,843,5670,50,0,0,0,31.5,0.800181818
1/12/2015,Quarter2,sweing,Monday,12,0.8,11.61,760,4470,50,0,0,0,31.5,0.80007657
1/12/2015,Quarter2,sweing,Monday,2,0.8,28.08,737,10530,63,0,0,0,58.5,0.8
1/12/2015,Quarter2,finishing ,Monday,8,0.8,2.9,,1440,0,0,0,0,8,0.725
1/12/2015,Quarter2,sweing,Monday,10,0.8,50.48,381,6930,45,0,0,0,58.5,0.688557555
1/12/2015,Quarter2,sweing,Monday,5,0.65,20.79,1141,8460,0,0,0,0,59,0.650040783
1/12/2015,Quarter2,sweing,Monday,11,0.65,12.52,1004,9540,44,0,0,0,53,0.64998056
1/12/2015,Quarter2,finishing ,Monday,7,0.8,2.9,,1440,0,0,0,0,8,0.648106061
1/12/2015,Quarter2,finishing ,Monday,11,0.8,4.15,,1440,0,0,0,0,8,0.640577652
1/12/2015,Quarter2,sweing,Monday,4,0.35,22.4,581,7350,0,0,0,0,51.5,0.35063299
1/12/2015,Quarter2,finishing ,Monday,10,0.8,3.94,,1440,0,0,0,0,8,0.24625
1/13/2015,Quarter2,finishing ,Tuesday,4,0.35,4.3,,2160,0,0,0,0,12,0.952020202
1/13/2015,Quarter2,finishing ,Tuesday,1,0.8,3.94,,1440,0,0,0,0,2,0.951420455
1/13/2015,Quarter2,finishing ,Tuesday,10,0.8,3.94,,5400,0,0,0,0,20,0.912766667
1/13/2015,Quarter2,finishing ,Tuesday,3,0.8,4.15,,1620,0,0,0,0,9,0.901262626
1/13/2015,Quarter2,finishing ,Tuesday,9,0.8,3.94,,1440,0,0,0,0,8,0.858143939
1/13/2015,Quarter2,sweing,Tuesday,1,0.8,26.16,1073,10620,75,0,0,0,59,0.850502311
1/13/2015,Quarter2,sweing,Tuesday,9,0.8,26.16,1156,10620,75,0,0,0,59,0.850502311
1/13/2015,Quarter2,sweing,Tuesday,8,0.8,25.9,1211,10260,60,0,0,0,57,0.850252525
1/13/2015,Quarter2,sweing,Tuesday,7,0.8,25.9,1126,10170,60,0,0,0,56.5,0.850136766
1/13/2015,Quarter2,finishing ,Tuesday,5,0.65,4.15,,1440,0,0,0,0,8,0.821354167
1/13/2015,Quarter2,finishing ,Tuesday,2,0.8,3.94,,1440,0,0,0,0,8,0.805909091
1/13/2015,Quarter2,sweing,Tuesday,6,0.8,11.61,1004,5670,50,0,0,0,31.5,0.800246753
1/13/2015,Quarter2,sweing,Tuesday,12,0.8,11.61,1063,5670,50,0,0,0,31.5,0.800246753
1/13/2015,Quarter2,sweing,Tuesday,2,0.8,28.08,723,10530,50,0,0,0,58.5,0.8
1/13/2015,Quarter2,sweing,Tuesday,3,0.8,42.27,465,9900,54,0,0,0,55,0.705576584
1/13/2015,Quarter2,finishing ,Tuesday,8,0.8,2.9,,1440,0,0,0,0,8,0.681060606
1/13/2015,Quarter2,finishing ,Tuesday,7,0.8,2.9,,1440,0,0,0,0,8,0.670075758
1/13/2015,Quarter2,finishing ,Tuesday,11,0.8,4.15,,1440,0,0,0,0,8,0.601278409
1/13/2015,Quarter2,sweing,Tuesday,11,0.7,27.13,530,9540,37,0,0,0,53,0.582301029
1/13/2015,Quarter2,sweing,Tuesday,5,0.7,20.79,1297,10440,0,0,0,0,58,0.526810345
1/13/2015,Quarter2,sweing,Tuesday,4,0.5,22.4,783,10170,23,0,0,0,56.5,0.500380799
1/13/2015,Quarter2,sweing,Tuesday,10,0.35,22.4,715,10170,23,0,0,0,56.5,0.35020649
1/14/2015,Quarter2,finishing ,Wednesday,11,0.8,4.15,,1980,0,0,0,0,7,0.934607438
1/14/2015,Quarter2,finishing ,Wednesday,4,0.35,4.3,,2700,0,0,0,0,8,0.908080808
1/14/2015,Quarter2,sweing,Wednesday,7,0.8,25.9,1150,10170,70,0,0,0,56.5,0.900144811
1/14/2015,Quarter2,finishing ,Wednesday,1,0.8,3.94,,1440,0,0,0,0,8,0.891723485
1/14/2015,Quarter2,finishing ,Wednesday,5,0.65,4.15,,1440,0,0,0,0,15,0.864583333
1/14/2015,Quarter2,finishing ,Wednesday,9,0.8,3.94,,1440,0,0,0,0,8,0.858143939
1/14/2015,Quarter2,sweing,Wednesday,9,0.8,26.16,1232,10620,75,0,0,0,59,0.850502311
1/14/2015,Quarter2,sweing,Wednesday,8,0.8,25.9,1218,10170,60,0,0,0,56.5,0.850136766
1/14/2015,Quarter2,finishing ,Wednesday,7,0.8,2.9,,1440,0,0,0,0,8,0.837594697
1/14/2015,Quarter2,finishing ,Wednesday,3,0.8,4.15,,1440,0,0,0,0,7,0.820833333
1/14/2015,Quarter2,sweing,Wednesday,12,0.8,11.61,1159,2970,50,0,0,0,31.5,0.800313433
1/14/2015,Quarter2,sweing,Wednesday,6,0.8,11.61,972,5670,38,0,0,0,31.5,0.800246753
1/14/2015,Quarter2,sweing,Wednesday,1,0.8,26.16,1092,10620,63,0,0,0,59,0.800117103
1/14/2015,Quarter2,sweing,Wednesday,5,0.7,20.79,965,7320,0,0,0,0,58,0.700095563
1/14/2015,Quarter2,finishing ,Wednesday,8,0.8,2.9,,1440,0,0,0,0,8,0.667329545
1/14/2015,Quarter2,sweing,Wednesday,4,0.6,22.4,816,5100,23,0,0,0,57,0.600369686
1/14/2015,Quarter2,sweing,Wednesday,10,0.5,22.4,947,3390,23,0,0,0,56.5,0.499980334
1/14/2015,Quarter2,sweing,Wednesday,11,0.35,14.61,838,7200,23,0,0,0,55,0.35003125
1/14/2015,Quarter2,finishing ,Wednesday,10,0.8,3.94,,1260,0,0,0,0,8,0.332359307
