Marketing expense,Production expense,Multiplex coverage,Budget,Movie_length,Lead_ Actor_Rating,Lead_Actress_rating,Director_rating,Producer_rating,Critic_rating,Trailer_views,3D_available,Time_taken,Twitter_hastags,Genre,Avg_age_actors,Num_multiplex,Collection,Start_Tech_Oscar
32.5478,71.28,0.462,32407.87,130,7.7,7.825,7.64,7.84,6.8,497626,YES,169.96,283.184,Thriller,28,598,39800,1
41.0786,71.28,0.462,32968.925,102.8,7.67,7.805,7.74,7.785,7.8,532331,NO,109.24,203.696,Comedy,46,547,46200,1
35.684,71.28,0.462,33274.45,155.2,7.72,7.925,7.82,8.015,6.8,431225,NO,109,222.8,Drama,56,548,35000,0
36.0542,71.28,0.462,30308.08,110.1,8.1,8.24,8.07,8,6.8,448317,YES,170.08,243.232,Action,41,543,40400,1
34.516,71.28,0.462,31813.485,143,8.01,8.175,8,8.215,7.8,463328,NO,171.28,242.912,Action,27,578,36400,0
45.0358,71.28,0.462,30941.35,171.6,8.035,8.205,7.955,8.21,7.8,371051,YES,,302.176,Action,44,484,27200,1
37.0408,71.28,0.462,33135.575,162.7,7.945,8.14,7.83,8.06,7.8,457361,YES,183.84,283.136,Comedy,23,541,39200,1
44.6494,71.28,0.462,34118.81,165.2,7.91,8.01,7.845,8.275,6.8,387496,YES,116.08,282.432,Thriller,48,575,30400,0
39.7686,71.28,0.462,32291.215,173.5,7.825,8.01,7.935,8.04,7.8,365213,YES,149.8,262.32,Drama,29,527,29000,1
35.0052,71.28,0.462,32907.82,167.6,7.655,7.965,7.64,7.94,7.8,414145,YES,164.24,262.496,Drama,27,502,31200,0
36.8108,71.28,0.462,31102.445,159.2,7.655,7.835,7.64,7.96,7.8,422375,YES,187.56,262.224,Thriller,35,516,27800,1
33.4382,71.28,0.462,32291.215,163.8,7.53,7.705,7.645,7.755,6.8,436807,NO,194.64,242.656,Drama,59,476,33200,0
39.1154,71.28,0.462,33591.085,162.3,7.75,7.8,7.7,7.845,6.8,406866,YES,173.92,262.368,Drama,20,488,29600,0
35.4598,71.28,0.462,36079.725,167.9,7.715,7.825,7.655,7.895,7.8,455480,YES,119.36,302.944,Thriller,35,544,36800,0
40.049,71.28,0.462,37074.07,160.8,7.735,8.03,7.82,7.935,6.8,466851,NO,180.4,243.36,Thriller,50,488,42000,1
42.6162,71.28,0.462,31735.715,167.6,7.74,7.91,7.815,8.07,6.8,350102,NO,197.08,242.032,Drama,34,586,25400,1
47.0944,71.28,0.462,33729.96,173.5,7.805,7.97,7.76,8.115,6.8,436306,YES,185.8,242.32,Comedy,23,523,29000,0
47.7598,71.28,0.462,33052.25,155.5,7.995,8.07,7.845,8.105,7.8,299587,NO,175.28,282.112,Thriller,25,533,26400,1
43.0344,71.28,0.462,31669.055,168.5,8.1,8.165,8.02,8.14,7.8,394967,YES,167.24,302.096,Comedy,25,571,26200,0
52.2564,71.28,0.462,33863.28,170.4,7.965,8.17,8.065,8.28,6.8,377048,YES,193.4,222.16,Comedy,40,497,27000,1
21.2834,66.92,0.501,32957.815,141.7,8.155,8.365,8.23,8.53,7.16,475977,YES,189.56,223.024,Thriller,43,530,37800,0
21.9488,66.92,0.501,32446.755,134.9,8.305,8.36,8.19,8.39,8.16,474433,NO,150,303.2,Comedy,39,454,40000,1
21.6028,66.92,0.501,32496.75,115,8.01,8.125,7.94,8.055,7.16,482433,YES,162.4,203.36,Thriller,21,510,42000,1
23.501,66.92,0.501,33141.13,103.7,7.925,8.17,7.98,8.23,7.16,498052,YES,163.68,203.872,Thriller,21,484,48400,0
20.5526,60.9,0.572,36635.225,95.3,7.175,7.325,7.225,7.475,8.34,553070,YES,138.32,244.928,Thriller,49,451,61600,0
20.6718,60.9,0.572,39018.32,89.3,7.185,7.345,7.235,7.43,8.34,567784,YES,123.96,305.584,Thriller,20,428,69800,0
22.5488,68.82,0.552,37607.35,76.4,7.115,7.14,7,7.3,7.42,512492,NO,154.64,264.256,Action,30,495,53200,0
22.83,68.82,0.552,34268.795,80.1,7.035,7.27,7.06,7.19,7.42,526836,NO,162.12,304.048,Thriller,52,419,50600,0
23.1872,68.82,0.552,34502.105,80,6.98,7.17,7.08,7.33,8.42,473146,YES,121.88,303.952,Thriller,56,449,49400,0
22.4538,68.82,0.552,33713.295,113.5,7.095,7.245,7.05,7.165,8.42,471960,NO,180.48,243.392,Thriller,53,400,42400,1
23.4284,68.82,0.552,31563.51,107.3,7.385,7.525,7.395,7.49,8.42,470466,NO,161.72,223.088,Thriller,21,445,38600,1
23.7672,68.82,0.552,32141.23,106.8,7.375,7.5,7.3,7.625,8.42,445250,YES,186,243.2,Drama,39,455,40000,1
24.5854,68.82,0.552,33496.65,159,7.085,7.18,7.125,7.23,7.42,374797,YES,106.64,242.656,Thriller,44,526,33200,1
25.0774,68.82,0.552,29991.445,168.8,7.01,7.16,7.02,7.07,8.42,264112,NO,141.76,282.304,Comedy,34,427,28800,1
24.3954,68.82,0.552,31119.11,135.5,6.945,7.05,6.85,6.98,7.42,422013,NO,119.76,263.104,Action,45,507,38800,1
21.7746,66.28,0.561,33124.465,119.2,6.46,6.725,6.5,6.685,7.64,442225,YES,0,223.152,Thriller,21,404,39400,0
20.8674,66.28,0.561,33968.825,136.5,6.48,6.63,6.46,6.795,8.64,502413,YES,140.2,223.28,Drama,30,473,41000,0
21.072,66.28,0.561,36168.605,94.6,6.49,6.62,6.44,6.815,8.64,504792,NO,198,284,Thriller,56,462,50000,0
20.9962,66.28,0.561,33318.89,94.9,6.555,6.74,6.565,6.51,8.64,496877,NO,183.36,223.744,Thriller,41,416,46800,0
20.272,63,0.59,32707.84,121.1,6.3,6.365,6.2,6.5,6.78,410055,YES,173.56,303.024,Comedy,55,387,37800,1
20.2622,57.44,0.597,40268.195,95.4,5.55,5.795,5.605,5.655,8.42,512329,YES,150.16,265.664,Thriller,50,480,70800,1
20.411,56.48,0.59,35457.565,109.2,5.34,5.535,5.285,5.465,8.54,539589,YES,115.88,303.952,Drama,22,383,49400,1
20.2864,57.64,0.589,37862.88,114,5.685,5.86,5.815,5.99,8.98,512129,YES,148.64,305.056,Drama,45,426,63200,1
23.089,65.26,0.547,34135.475,102.7,6.01,6.115,5.965,6.28,7.06,480067,NO,,283.728,Comedy,22,438,46600,1
22.0656,65.26,0.547,32924.485,120.7,6.37,6.66,6.45,6.66,7.06,467075,YES,123.84,283.136,Comedy,20,460,39200,1
22.9864,65.26,0.547,31891.255,139.7,6.335,6.42,6.235,6.56,7.06,465689,NO,,222.992,Thriller,30,439,37400,1
23.4342,65.26,0.547,33141.13,166.9,6.58,6.665,6.46,6.655,7.06,430178,NO,124.4,302.56,Thriller,48,387,32000,0
22.2054,65.26,0.547,35863.08,141.3,6.225,6.46,6.285,6.58,7.06,525189,YES,116.88,203.552,Comedy,56,434,44400,1
22.53,65.26,0.547,37562.91,116.9,5.885,6.155,5.95,6.045,8.06,469499,YES,118,264,Action,28,470,50000,1
20.3902,57.76,0.5839,39462.72,133,5.28,5.455,5.315,5.505,7.28,477265,YES,165.2,205.28,Action,30,390,66000,1
20.7168,61.74,0.602,34940.95,91.3,6.69,6.785,6.575,6.725,8.78,545499,NO,189.4,243.76,Thriller,20,375,47000,0
20.8758,61.74,0.602,32146.785,104.6,6.65,6.78,6.58,6.77,8.78,465605,NO,179.76,223.104,Action,44,479,38800,1
21.1578,67.14,0.591,32652.29,94.9,6.68,6.8,6.74,6.785,8.22,493569,YES,142.8,263.52,Thriller,29,406,44000,1
22.7108,67.14,0.591,31074.67,110.3,6.745,6.915,6.73,6.615,8.22,461313,NO,176.96,302.784,Thriller,40,485,34800,0
22.5632,67.14,0.591,32691.175,106.5,6.725,6.805,6.7,6.77,7.22,499656,NO,166.36,223.344,Drama,56,384,41800,1
21.7652,76.62,0.587,35646.435,80.1,7.24,7.465,7.205,7.52,7.16,501152,YES,195.68,283.872,Thriller,38,410,48400,0
23.1752,76.62,0.587,33113.355,91,7.28,7.4,7.29,7.455,8.16,491978,NO,200.68,263.472,Action,46,400,43400,1
21.8328,76.62,0.587,33691.075,81.3,7.27,7.52,7.195,7.44,7.16,500290,NO,117.12,203.648,Thriller,20,361,45600,1
23.9078,76.62,0.587,34690.975,79.7,7.32,7.385,7.25,7.47,8.16,493124,YES,119.36,243.744,Drama,45,434,46800,1
21.5792,80.66,0.563,34846.515,79.5,7.73,8.025,7.715,8.025,7.26,488560,NO,157.64,203.856,Thriller,40,389,48200,1
21.9024,80.66,0.563,34918.73,118.5,7.585,7.75,7.585,8.07,8.26,496661,NO,120.56,203.424,Comedy,28,382,42800,0
22.0306,80.66,0.563,34879.845,148,7.835,8.14,7.87,8.05,8.26,478283,NO,146,243.2,Comedy,22,453,40000,1
21.7414,80.66,0.563,34107.7,119.3,7.84,7.97,7.87,8.14,7.26,490040,YES,118.32,223.328,Thriller,57,419,41600,1
21.1292,80.66,0.563,34618.76,127.2,7.33,7.5,7.45,7.69,8.26,447528,YES,176.48,303.392,Drama,53,377,42400,0
21.6774,80.66,0.563,32630.07,110.1,7.735,7.885,7.59,7.785,8.26,467670,NO,128.12,303.248,Action,37,472,40600,0
20.8226,64.72,0.574,37368.485,107,7.25,7.36,7.3,7.29,8.2,499995,YES,129.2,284.48,Drama,54,374,56000,0
20.8924,64.72,0.574,36768.545,143.9,7.145,7.445,7.145,7.46,7.2,510436,YES,111.56,243.824,Drama,49,501,47800,1
20.7318,64.72,0.574,35007.61,105.7,7.235,7.405,7.265,7.29,8.2,492574,NO,121.92,203.968,Thriller,20,469,49600,1
20.7102,64.72,0.574,34257.685,120.2,7.24,7.41,7.165,7.385,7.2,485743,YES,151.16,203.664,Drama,34,405,45800,0
21.0118,63.98,0.551,35490.895,121.5,7.515,7.645,7.505,7.775,7.3,454277,NO,133.56,283.824,Drama,23,422,47800,1
21.147,63.98,0.551,36829.65,129.6,7.625,7.925,7.755,7.815,8.3,495454,NO,194.64,244.256,Thriller,56,521,53200,0
21.0376,63.98,0.551,33413.325,118.6,7.69,7.92,7.755,7.78,7.3,436753,YES,119,223.6,Thriller,50,472,45000,0
21.4302,63.98,0.551,34002.155,130.3,8.035,8.13,8.08,8.26,8.3,489563,YES,144.88,243.552,Comedy,43,510,44400,1
21.132,61.82,0.511,38923.885,159.8,8.25,8.455,8.28,8.175,8.44,509357,NO,139.44,203.776,Thriller,28,456,47200,0
21.0604,61.82,0.511,39323.845,136.6,8.17,8.31,8.135,8.555,8.44,515362,YES,151.48,304.592,Comedy,31,478,57400,0
20.9368,61.82,0.511,35646.435,139.6,8.43,8.535,8.425,8.425,8.44,503147,YES,147.04,303.616,Drama,58,424,45200,1
20.7864,61.82,0.511,35579.775,147.4,8.42,8.525,8.295,8.575,7.44,496193,NO,164.8,263.52,Thriller,23,451,44000,0
20.8406,85.08,0.536,35785.31,127.1,8.02,8.295,8.015,8.34,8.36,489837,NO,183.16,283.664,Drama,60,518,45800,0
20.575,85.08,0.536,34502.105,102.4,8.04,8.225,8.095,8.305,8.36,508101,NO,206,284,Action,46,492,50000,0
20.8588,85.08,0.536,34713.195,150.8,8.095,8.33,8.04,8.305,8.36,468556,NO,114.24,263.296,Action,54,465,41200,0
22.4408,60.78,0.555,36801.875,131.3,8.215,8.385,8.12,8.29,7.4,489220,NO,199.36,284.544,Thriller,46,467,56800,0
22.3008,60.78,0.555,34235.465,143.1,8.21,8.325,8.23,8.245,8.4,467769,NO,204.56,243.424,Thriller,21,463,42800,0
22.4166,60.78,0.555,44823.295,149.5,8.15,8.34,8.215,8.305,7.4,543618,YES,125.48,246.192,Thriller,53,413,77400,0
21.6374,60.78,0.555,43440.1,110.4,8.23,8.29,8.2,8.285,7.4,544945,YES,217.52,207.008,Action,25,512,87600,1
21.372,60.78,0.555,41195.88,136,8.085,8.32,8.165,8.435,8.4,484613,NO,131.28,265.312,Thriller,31,510,66400,0
22.9732,72.12,0.48,37368.485,153.4,8.45,8.66,8.595,8.74,6.82,471052,YES,193,304.4,Drama,24,470,55000,1
22.2864,72.12,0.48,37668.455,144.8,8.425,8.63,8.44,8.79,7.82,491484,YES,144.6,204.24,Thriller,58,445,53000,0
24.5752,72.12,0.48,35579.775,158.9,8.485,8.725,8.635,8.725,7.82,457364,NO,135.44,262.976,Action,57,544,37200,0
24.2322,72.12,0.48,34091.035,160.9,8.515,8.79,8.56,8.71,7.82,443252,YES,137.72,283.088,Comedy,36,555,38600,0
22.792,72.12,0.48,34257.685,163.5,8.685,8.875,8.66,8.935,6.82,432081,YES,,203.216,Comedy,20,458,40200,0
22.6524,72.12,0.48,32502.305,170.2,8.905,9.025,8.935,8.925,6.82,430817,YES,,263.12,Comedy,57,515,39000,0
23.424,72.12,0.48,32418.98,165.4,8.815,8.965,8.76,9.04,6.82,405008,YES,205.8,283.12,Drama,20,482,39000,1
22.6234,72.12,0.48,34035.485,158.7,8.825,9.025,8.915,8.99,6.82,442160,YES,120.16,283.264,Action,57,517,40800,1
22.5604,72.12,0.48,35963.07,170.6,8.64,8.91,8.73,8.85,7.82,473768,NO,171.92,203.168,Action,48,502,39600,1
25.2726,72.12,0.48,34602.095,164.7,8.715,8.86,8.56,8.775,6.82,437611,YES,195.76,283.104,Comedy,41,555,38800,1
22.1586,72.12,0.48,34413.225,127.9,8.475,8.7,8.48,8.79,7.82,423752,YES,138.68,203.472,Comedy,37,453,43400,1
22.0168,75.02,0.453,37301.825,155.1,8.595,8.685,8.5,8.87,8.44,495560,YES,113.12,263.648,Thriller,34,544,45600,0
22.4658,75.02,0.453,32846.715,166.4,8.725,8.885,8.72,8.965,7.44,394329,YES,0,303.008,Thriller,35,577,37600,1
24.4424,75.02,0.453,33841.06,168.9,8.705,8.875,8.725,8.6,8.44,405200,YES,201.48,202.992,Thriller,59,604,37400,1
22.8462,75.02,0.453,34740.97,157.7,8.73,8.93,8.855,8.975,8.44,446050,NO,133.4,242.96,Action,39,570,37000,0
23.4268,75.02,0.453,32930.04,161.7,8.72,8.795,8.64,8.92,7.44,415458,NO,151.32,222.928,Comedy,24,539,36600,0
22.6316,75.02,0.453,34307.68,146,8.535,8.645,8.5,8.86,8.44,432696,NO,130.48,263.392,Comedy,23,528,42400,0
23.0196,75.02,0.453,33446.655,156.1,8.615,8.755,8.54,8.595,7.44,454755,NO,189.68,303.072,Action,28,609,38400,0
22.6116,75.02,0.453,32618.96,146.6,8.6,8.865,8.69,8.89,7.44,410730,YES,160.16,283.264,Thriller,40,566,40800,1
22.8952,75.02,0.453,31835.705,138.7,8.52,8.74,8.54,8.685,8.44,463019,YES,203.72,223.088,Thriller,20,530,38600,0
21.3798,106.3,0.419,32607.85,143.2,8.8,8.92,8.735,9.03,7.18,455844,YES,156.8,203.52,Thriller,23,570,44000,0
21.433,106.3,0.419,33352.22,157.6,8.78,9.02,8.815,8.99,8.18,454602,YES,194.12,203.248,Action,39,568,40600,0
21.8598,106.3,0.419,33113.355,166.4,8.83,9.075,8.865,9.05,8.18,388265,YES,178.2,203.28,Comedy,51,608,41000,0
23.0076,106.3,0.419,32530.08,170.5,8.89,9.09,8.965,9.165,8.18,334417,YES,182.92,202.768,Drama,51,524,34600,1
21.9698,106.3,0.419,32657.845,169.3,8.895,9.13,8.9,9.06,8.18,395312,NO,125.52,263.008,Thriller,56,622,37600,1
23.3804,106.3,0.419,33252.23,161.9,8.935,9.075,8.855,9.155,7.18,443766,YES,162.56,283.424,Drama,22,608,42800,1
27.747,106.3,0.419,31180.215,169.1,9.035,9.24,9.1,9.115,8.18,303828,NO,154.28,202.512,Drama,42,635,31400,1
25.183,98.78,0.376,31624.615,169.5,8.955,9.135,9.08,9.255,6.76,391198,YES,118.48,302.592,Comedy,31,567,32400,1
26.5086,98.78,0.376,35724.205,172.3,9.02,9.195,9.04,9.115,7.76,444896,NO,163.2,282.88,Comedy,41,564,36000,1
37.625,98.78,0.376,31313.535,168.2,8.85,9.06,8.95,9.175,6.76,406685,YES,157.72,202.288,Drama,30,581,28600,1
26.8012,98.78,0.376,35874.19,172.4,8.815,9.035,8.82,9.095,6.76,466796,YES,179.68,263.072,Comedy,25,663,38400,1
43.8588,98.78,0.376,35140.93,171.2,8.73,8.985,8.79,8.955,6.76,438063,YES,151.84,243.136,Comedy,29,559,39200,1
31.801,98.78,0.376,35396.46,171.4,8.795,8.92,8.8,8.83,6.76,456491,YES,179.2,243.68,Action,57,550,46000,0
26.5964,98.78,0.376,32341.21,168.9,8.635,8.79,8.735,8.895,7.76,426316,YES,205.36,202.944,Action,58,617,36800,0
39.5234,98.78,0.376,31980.135,171.9,8.825,8.86,8.735,8.885,6.76,402396,NO,180.24,222.496,Action,32,646,31200,0
31.1556,98.78,0.376,35190.925,171.7,8.89,8.965,8.84,9.085,6.76,411162,YES,157.24,222.896,Thriller,37,663,36200,0
26.4528,98.78,0.376,33007.81,167,8.87,9.08,8.91,9.205,6.76,394365,NO,202.96,202.784,Thriller,37,622,34800,0
27.0466,98.78,0.376,35851.97,171.9,8.925,9.235,8.915,9.225,7.76,442884,YES,138.84,222.736,Comedy,40,674,34200,0
24.996,98.78,0.376,32535.635,171.7,9.055,9.295,9.08,9.235,6.76,380380,NO,161.32,282.128,Thriller,39,593,26600,0
30.8904,98.78,0.376,34168.805,171.4,9.045,9.205,9.16,9.255,7.76,411330,YES,173.12,202.848,Drama,29,592,35600,1
25.818,98.78,0.376,34296.57,167.1,9.07,9.23,9.065,9.41,6.76,354960,NO,113.6,202.24,Drama,28,570,28000,1
52.5728,98.78,0.376,27880.545,173.5,9.185,9.34,9.145,9.45,7.76,233100,YES,199.76,242.304,Comedy,43,561,28800,1
86.421,94.16,0.129,30013.665,173.5,9.33,9.48,9.18,9.365,9.06,329378,YES,105.36,262.144,Thriller,42,807,26800,1
101.948,94.16,0.129,30374.74,173.5,9.18,9.4,9.21,9.385,9.06,308802,YES,146.24,262.496,Comedy,25,793,31200,1
75.5948,94.16,0.129,27236.165,171.3,9.26,9.46,9.225,9.365,8.06,294970,YES,132.72,261.888,Thriller,52,795,23600,1
67.5868,94.16,0.129,34052.15,173.5,9.155,9.37,9.14,9.495,8.06,305675,YES,155.52,202.208,Thriller,59,846,27600,0
63.101,94.16,0.129,31263.54,173.5,9.09,9.255,9.155,9.47,8.06,399297,YES,112.24,202.496,Thriller,32,760,31200,0
67.3724,94.16,0.129,27363.93,169.2,9.115,9.32,9.17,9.475,9.06,286266,NO,137.84,222.336,Comedy,24,800,29200,1
66.6198,94.16,0.129,28808.23,167.3,9.21,9.385,9.2,9.14,8.06,309356,NO,197.12,282.848,Drama,43,838,35600,1
74.6794,94.16,0.129,31091.335,168.4,9.12,9.39,9.205,9.24,8.06,347105,NO,202.16,302.464,Comedy,48,759,30800,0
53.132,94.16,0.129,34007.71,170.8,9.175,9.24,9.035,9.315,8.06,428936,NO,110.6,243.44,Thriller,34,831,43000,1
49.9264,94.16,0.129,30019.22,173.5,9.07,9.27,9.115,9.365,8.06,466687,NO,129.84,223.136,Thriller,42,754,39200,1
42.5316,94.16,0.129,27841.66,161.5,9.09,9.22,9.05,9.42,9.06,455196,YES,108.12,202.448,Comedy,46,851,30600,1
62.9836,94.16,0.129,31713.495,172,9.11,9.32,9.05,9.275,8.06,411772,NO,121.76,243.104,Comedy,58,840,38800,0
48.277,94.16,0.129,34046.595,169.5,9.115,9.265,9.015,9.11,9.06,440004,NO,148.8,302.72,Action,48,806,34000,0
90.7002,94.16,0.129,34174.36,156.1,9.06,9.275,9.04,9.13,9.06,432078,NO,198.24,222.496,Thriller,37,868,31200,0
68.9336,94.16,0.129,29285.96,167.5,9.005,9.145,9.075,9.305,8.06,426057,NO,127.24,202.096,Thriller,60,749,26200,1
44.4716,94.16,0.395,38568.365,170.9,9.005,9.12,9.04,9.08,9.06,501350,YES,164.52,266.608,Comedy,57,549,82600,1
46.8568,94.16,0.395,33696.63,173.5,9.02,9.23,9.05,9.185,8.06,483363,NO,177.72,263.888,Thriller,46,556,48600,0
48.5004,94.16,0.129,36163.05,173.5,9.08,9.155,9.01,9.22,9.06,475753,YES,143.32,243.728,Drama,36,765,46600,0
45.4692,94.16,0.395,34718.75,166.1,9.07,9.24,9.06,9.03,9.06,540041,YES,168.8,244.32,Drama,23,519,54000,1
49.2672,94.16,0.395,41601.395,164.3,8.915,9.055,8.935,9.155,8.06,539697,YES,210,228,Comedy,35,539,100000,1
56.6754,94.16,0.395,43340.11,171.7,8.87,9.12,8.945,8.98,8.06,531084,YES,168,248,Drama,22,557,100000,1
50.3804,94.16,0.395,46523.125,167.4,8.87,9.03,8.8,8.975,9.06,561132,YES,160,248,Thriller,57,603,100000,1
64.8472,94.16,0.395,32518.97,165.3,8.645,8.805,8.755,8.95,9.06,467883,YES,167.08,303.632,Drama,56,659,45400,0
78.48,94.16,0.395,33891.055,166.5,8.815,8.86,8.705,9.055,8.06,471586,YES,200,244,Thriller,22,533,50000,0
60.2038,94.16,0.395,44045.595,169.7,8.945,9.045,8.845,9.07,9.06,517904,YES,166,308,Thriller,37,522,100000,1
56.0056,94.16,0.395,32646.735,152.7,8.655,8.895,8.71,8.89,8.06,468741,YES,201.52,203.808,Drama,22,549,47600,0
66.008,94.16,0.395,35102.045,169.6,8.855,8.98,8.88,9.085,8.06,473988,NO,133.52,223.808,Comedy,23,663,47600,0
68.9906,94.16,0.395,35563.11,168.7,8.85,8.94,8.835,8.85,8.06,449755,NO,110.92,303.568,Action,22,536,44600,0
44.1484,94.16,0.395,32635.625,168.1,8.65,8.79,8.64,9.07,9.06,438703,NO,158.96,222.784,Drama,28,606,34800,0
66.278,94.16,0.395,32663.4,170.8,8.69,8.82,8.725,8.985,8.06,470298,NO,195.64,243.056,Thriller,54,575,38200,0
22.7828,63.1,0.49,30952.46,162,8.65,8.73,8.635,8.79,7.68,415584,NO,187.24,243.696,Thriller,38,530,46200,0
21.8356,63.1,0.49,35640.88,157.6,8.57,8.715,8.615,8.805,7.68,467457,YES,197.44,203.776,Comedy,59,540,47200,0
21.6894,63.1,0.49,32546.745,142.2,8.58,8.65,8.485,8.88,7.68,480435,YES,195.04,303.616,Thriller,35,530,45200,0
21.3328,63.1,0.49,36363.03,106.6,8.39,8.545,8.395,8.41,7.68,500067,YES,123.76,244.704,Comedy,48,509,58800,1
21.4044,63.1,0.49,33441.1,120.7,8.125,8.295,8.11,8.36,7.68,491916,YES,171.28,303.712,Drama,49,520,46400,0
21.085,63.1,0.49,35079.825,146.9,8.325,8.36,8.295,8.38,8.68,487150,YES,141.84,283.936,Drama,31,474,49200,0
21.3284,63.1,0.49,38107.3,147.9,8.405,8.625,8.395,8.75,7.68,513390,NO,117.96,224.784,Comedy,28,548,59800,1
21.156,59.92,0.512,38773.9,131.9,8.445,8.725,8.58,8.59,8.44,505742,NO,194.88,225.952,Drama,50,456,74400,1
21.3176,59.92,0.512,43134.575,156.8,8.51,8.67,8.52,8.82,7.44,515276,YES,169.92,286.368,Action,60,466,79600,1
21.3776,59.92,0.512,34129.92,135.7,8.655,8.805,8.605,8.74,7.44,461876,YES,132.48,305.792,Thriller,59,561,72400,1
21.8206,59.92,0.512,39746.025,165.7,8.64,8.675,8.54,8.75,7.44,549262,YES,185.16,306.064,Thriller,56,430,75800,1
22.0016,59.92,0.512,36457.465,169.1,8.48,8.665,8.545,8.62,8.44,493498,YES,147,285.2,Drama,60,451,65000,1
21.6616,59.92,0.512,31130.22,163.3,8.47,8.58,8.425,8.545,8.44,440780,YES,198.56,204.224,Drama,27,467,52800,0
21.2094,59.92,0.512,34179.915,142.3,8.285,8.475,8.25,8.43,7.44,463628,YES,163.84,224.736,Drama,45,466,59200,0
21.1204,59.92,0.512,43501.205,127.1,8.275,8.405,8.245,8.675,8.44,511949,YES,120,268,Drama,35,458,100000,1
21.575,61.88,0.563,37674.01,114.6,8.095,8.15,8.065,8.115,7.96,480787,YES,156.8,265.12,Thriller,23,423,64000,1
22.5158,61.88,0.563,36418.58,102.6,7.69,7.86,7.66,7.655,8.96,537380,YES,151.92,204.768,Thriller,40,460,59600,0
21.674,61.88,0.563,39912.675,112.4,7.585,7.785,7.66,7.835,8.96,520707,NO,185.96,285.584,Thriller,20,464,69800,1
21.8136,61.88,0.563,38612.805,95,6.73,6.82,6.645,6.845,8.96,512163,NO,123.2,225.28,Comedy,55,510,66000,1
21.3822,61.88,0.563,37435.145,104.3,6.645,6.79,6.63,6.975,7.96,507193,NO,176.2,224.88,Comedy,40,384,61000,0
21.7328,61.88,0.563,39873.79,99.8,6.62,6.83,6.7,6.895,7.96,515199,YES,210.56,225.824,Drama,40,448,72800,0
20.4374,60.86,0.599,37774,83.4,6.77,6.935,6.775,7.08,7.88,503965,NO,136.44,264.976,Thriller,24,412,62200,0
20.2878,60.86,0.599,36685.22,92.3,6.745,6.985,6.77,7.06,8.88,525053,NO,185.64,284.656,Thriller,59,489,58200,0
20.2762,55.92,0.578,43745.625,105.5,7.095,7.235,7.12,7.25,9.12,546519,YES,164,288,Thriller,26,430,100000,1
20.8022,58.04,0.596,40479.285,107.6,6.21,6.4,6.245,6.525,8.48,549247,YES,145.32,305.328,Action,20,367,66600,0
20.9332,58.04,0.596,39479.385,110.1,6.18,6.49,6.3,6.41,8.48,511537,YES,138.12,284.848,Action,24,401,60600,0
20.7536,58.04,0.596,40407.07,111.8,6.235,6.39,6.27,6.485,8.48,519868,NO,203.84,285.536,Drama,43,412,69200,0
